idpozo,sigla,formprod,coordenadax,coordenaday
458,YPF.SC.ELMa. x-1,CORI,-68.15268,-46.10807
459,CGC.SC.ELMa. x-1001,CORI,-68.1863526,-46.0991314
460,A.SC.ELMa. e-1002,CORI,-68.17822,-46.10464
464,YPF.Ch.MMO-x1,CAST,-69.9519,-45.95954
465,YPF.Ch.MMO-2,CAST,-69.95166,-45.95679
466,YPF.Ch.MMO-3,CAST,-69.96225,-45.95358
467,YPF.Ch.MMO-x5,CAST,-69.96598,-45.98568
468,YPF.Ch.MMO-6,CAST,-69.95535,-45.99163
469,YPF.Ch.MMO-a8,CAST,-69.95923,-45.97235
470,YPF.Ch.MMO-a9,CAST,-69.96278,-45.96054
471,YPF.Ch.MMO-a10,CAST,-69.94873,-45.94975
472,YPF.Ch.MMO-11,CAST,-69.95495,-45.96482
473,YPF.Ch.MMO-12,FIMP,-69.957,-45.96093
474,YPF.Ch.MMO-13,CAST,-69.95938,-45.95866
475,YPF.Ch.MMO-14,CAST,-69.96121,-45.96301
476,YPF.Ch.MMO-15,CAST,-69.9511,-45.96446
477,YPF.Ch.MMO-a16,CAST,-69.96234,-45.95126
478,YPF.Ch.MMO-a17,FIMP,-69.94143,-45.94729
479,YPF.Ch.MMO-a18,CAST,-69.99705,-45.96634
480,YPF.Ch.MMO-a19,CAST,-69.96904,-45.96848
481,YPF.Ch.MMO-a20,FIMP,-69.93434,-45.98582
482,YPF.Ch.MMO-21,CAST,-69.95009,-45.96215
483,YPF.Ch.MMO-22,CAST,-69.94726,-45.96397
484,YPF.Ch.MMO-23,CAST,-69.95874,-45.96495
485,YPF.Ch.MMO-24,CAST,-69.9566,-45.97091
486,YPF.Ch.MMO-25,CAST,-69.96528,-45.96248
487,YPF.Ch.MMO-26,CAST,-69.96717,-45.96059
488,YPF.Ch.MMO-27,CAST,-69.94862,-45.95933
489,YPF.Ch.MMO-28,CAST,-69.96487,-45.9683
490,YPF.Ch.MMO-32,CAST,-69.96097,-45.96759
491,YPF.Ch.MMO-x6,CAST,-69.93511,-45.99161
492,YPF.Ch.MMO-x12,BBAR,-69.93881,-45.95975
494,CLE.Ch.CN-1003,BBAR,-68.9282284,-45.7591554
495,CLE.Ch.CN-1004,BBAR,-68.9282353,-45.7537573
496,CLE.Ch.CN-1006,BBAR,-68.9205012,-45.7699465
497,CLE.Ch.CN.x-1,BBAR,-68.9327332,-45.2166232
498,CLE.Ch.CN.x-2,BBAR,-68.8712719,-45.7387096
499,CLE.Ch.CN-3,BBAR,-68.8932853,-45.7568339
500,CLE.Ch.CN-5,BBAR,-68.9049002,-45.7560404
501,CLE.Ch.CN-6,BBAR,-68.899778,-45.760094
502,CLE.Ch.EL.x-2,BBAR,-68.8192439,-45.6780881
503,CLE.Ch.A-15,BBAR,-68.9422254,-45.6968509
504,CLE.Ch.ELU.x-1,BBAR,-68.9692117,-45.6750078
505,CLE.Ch.CNE.x-1,BBAR,-68.8422856,-45.7570808
506,CLE.Ch.CN-1001,BBAR,-68.8972961,-45.7563697
507,A.Md.N.B.C. x-1001,VMUT,-69.30013,-36.43213
508,A.Md.N.B.C. x-1002,VMUT,-69.30051,-36.42492
517,YPF.Nq.CE.x-2,FIMP,-69.808288431486,-38.702337184942
518,YPF.Nq.CLa.x-1,"",-69.4552,-38.3714
519,YPF.Nq.CLa.x-2,"",-69.4308,-38.3629
520,YPF.Nq.CLa.x-3,"",-69.4556,-38.3736
521,YPF.Nq.CN.x-1,FIMP,-69.5923,-38.4607
